tid,dist_home,dist_away,margin,predicted
v1_p4_1,89.26915740966797,62.699405670166016,26.569751739501953,away
v1_p4_11,57.52260971069336,159.51123046875,101.98861694335938,home
v1_p4_2,48.543758392333984,144.23568725585938,95.69192504882812,home
v1_p4_3,102.54903411865234,56.646942138671875,45.90209197998047,away
v1_p4_4,119.00684356689453,75.20060729980469,43.806236267089844,away
v1_p4_5,64.91582489013672,61.04025650024414,3.875568389892578,away
v1_p4_6,53.117950439453125,126.39801788330078,73.28006744384766,home
v1_p4_7,78.3482666015625,52.80486297607422,25.54340362548828,away
v1_p4_8,66.54170989990234,50.07436752319336,16.467342376708984,away
v1_p4_9,138.2896728515625,51.215476989746094,87.0741958618164,away
v1_p5_1,37.171783447265625,129.28472900390625,92.11294555664062,home
v1_p5_11,136.60162353515625,50.331199645996094,86.27042388916016,away
v1_p5_2,32.994564056396484,139.31719970703125,106.3226318359375,home
v1_p5_3,82.60489654541016,49.953033447265625,32.65186309814453,away
v1_p5_4,140.36717224121094,41.390464782714844,98.9767074584961,away
v1_p5_5,114.15245819091797,28.789758682250977,85.36270141601562,away
v1_p5_6,27.679489135742188,128.11880493164062,100.43931579589844,home
v1_p5_7,135.26333618164062,53.54880905151367,81.71452331542969,away
v1_p5_8,150.74267578125,74.64645385742188,76.09622192382812,away
v1_p5_9,89.67120361328125,49.72254180908203,39.94866180419922,away
v1_p6_1,35.91937255859375,112.9084701538086,76.98909759521484,home
v1_p6_10,33.05527114868164,120.09971618652344,87.04444885253906,home
v1_p6_2,152.2729034423828,58.61871337890625,93.65419006347656,away
v1_p6_3,176.751953125,82.26763916015625,94.48431396484375,away
v1_p6_4,81.33003234863281,38.198219299316406,43.131813049316406,away
v1_p6_5,99.46635437011719,56.577579498291016,42.88877487182617,away
v1_p6_6,122.54138946533203,80.3009033203125,42.24048614501953,away
v1_p6_7,120.18079376220703,70.32049560546875,49.86029815673828,away
v1_p6_8,140.7137451171875,39.409488677978516,101.30426025390625,away
v1_p6_9,213.38555908203125,112.33724975585938,101.04830932617188,away
v1_p7_1,46.923099517822266,91.18338012695312,44.26028060913086,home
v1_p7_10,48.13786315917969,68.4185562133789,20.28069305419922,home
v1_p7_11,31.595857620239258,126.41050720214844,94.81465148925781,home
v1_p7_2,45.2781982421875,76.49714660644531,31.218948364257812,home
v1_p7_3,13.427809715270996,96.57133483886719,83.14352416992188,home
v1_p7_4,69.81889343261719,47.23545837402344,22.58343505859375,away
v1_p7_5,22.291025161743164,95.78323364257812,73.4922103881836,home
v1_p7_6,141.23277282714844,50.1709098815918,91.06185913085938,away
v1_p7_7,51.269126892089844,72.96981811523438,21.70069122314453,home
v1_p7_8,38.663394927978516,140.13714599609375,101.4737548828125,home
v1_p8_1,120.16864013671875,59.57878112792969,60.58985900878906,away
v1_p8_2,29.507753372192383,133.76669311523438,104.25894165039062,home
v1_p8_3,124.42662811279297,57.790035247802734,66.6365966796875,away
v1_p8_4,39.281402587890625,91.70105743408203,52.419654846191406,home
v1_p8_5,34.50608825683594,98.05731964111328,63.551231384277344,home
v1_p8_6,42.932525634765625,82.7310791015625,39.798553466796875,home
v1_p8_7,24.857770919799805,86.53675842285156,61.678985595703125,home
v1_p8_8,64.16234588623047,93.6640625,29.50171661376953,home
v1_p8_9,74.91792297363281,38.522701263427734,36.39522171020508,away
v1_p9_1,86.47108459472656,54.751407623291016,31.719676971435547,away
v1_p9_10,178.62879943847656,75.86521911621094,102.76358032226562,away
v1_p9_2,41.46388626098633,144.7465057373047,103.28262329101562,home
v1_p9_3,99.42146301269531,45.811012268066406,53.610450744628906,away
v1_p9_4,179.7634735107422,85.57991790771484,94.18355560302734,away
v1_p9_5,113.26113891601562,96.29032897949219,16.970809936523438,away
v1_p9_6,143.19606018066406,53.620914459228516,89.57514953613281,away
v1_p9_7,107.82611846923828,90.56387329101562,17.262245178222656,away
v1_p9_8,89.78588104248047,33.089534759521484,56.696346282958984,away
