tid,dist_home,dist_away,margin,predicted
v1_p4_1,54.424217224121094,90.25057220458984,35.82635498046875,home
v1_p4_11,92.17095947265625,168.650634765625,76.47967529296875,home
v1_p4_2,82.82962036132812,150.80043029785156,67.97080993652344,home
v1_p4_3,66.58992767333984,85.14697265625,18.557044982910156,home
v1_p4_4,107.32273864746094,57.982120513916016,49.34061813354492,away
v1_p4_5,32.15815353393555,83.95008087158203,51.791927337646484,home
v1_p4_6,56.604820251464844,146.73251342773438,90.12769317626953,home
v1_p4_7,42.77350997924805,79.1599349975586,36.38642501831055,home
v1_p4_8,31.386024475097656,73.572265625,42.186241149902344,home
v1_p4_9,115.70999145507812,25.76839256286621,89.94159698486328,away
v1_p5_1,69.94020080566406,135.78672790527344,65.84652709960938,home
v1_p5_11,113.73127746582031,27.909475326538086,85.8218002319336,away
v1_p5_2,67.14852142333984,151.8056182861328,84.65709686279297,home
v1_p5_3,49.275840759277344,74.4104995727539,25.134658813476562,away
v1_p5_4,113.9999008178711,21.553220748901367,92.4466781616211,away
v1_p5_5,81.3268814086914,50.25296401977539,31.073917388916016,home
v1_p5_6,62.923648834228516,137.2680206298828,74.34437561035156,home
v1_p5_7,114.16490173339844,27.723896026611328,86.44100952148438,away
v1_p5_8,129.17669677734375,61.009864807128906,68.16683197021484,away
v1_p5_9,59.23866653442383,70.73876190185547,11.50009536743164,away
v1_p6_1,52.531524658203125,124.58443450927734,72.05290985107422,home
v1_p6_10,47.451011657714844,137.1558380126953,89.70482635498047,home
v1_p6_2,125.95940399169922,46.39057540893555,79.56883239746094,away
v1_p6_3,150.33302307128906,69.66590118408203,80.66712188720703,away
v1_p6_4,57.754608154296875,46.743438720703125,11.01116943359375,away
v1_p6_5,63.49608612060547,85.11778259277344,21.62169647216797,home
v1_p6_6,113.33356475830078,57.84379577636719,55.489768981933594,away
v1_p6_7,107.97236633300781,47.925174713134766,60.04719161987305,away
v1_p6_8,110.24461364746094,41.10622024536133,69.13839721679688,away
v1_p6_9,178.8135986328125,117.32386779785156,61.48973083496094,away
v1_p7_1,56.46184158325195,93.37748718261719,36.915645599365234,home
v1_p7_10,39.85633087158203,75.34611511230469,35.489784240722656,home
v1_p7_11,51.60675048828125,143.2284698486328,91.62171936035156,home
v1_p7_2,35.94329071044922,88.00916290283203,52.06587219238281,home
v1_p7_3,23.635498046875,111.88333892822266,88.24784088134766,home
v1_p7_4,34.50869369506836,71.44133758544922,36.93264389038086,home
v1_p7_5,22.032339096069336,112.81614685058594,90.78380584716797,home
v1_p7_6,105.79298400878906,70.35685729980469,35.436126708984375,home
v1_p7_7,23.59672737121582,93.35131072998047,69.75458526611328,home
v1_p7_8,65.2176513671875,155.73178100585938,90.51412963867188,home
v1_p8_1,84.09695434570312,87.05073547363281,2.9537811279296875,home
v1_p8_2,59.061309814453125,148.57958984375,89.51828002929688,home
v1_p8_3,88.52485656738281,84.15400695800781,4.370849609375,home
v1_p8_4,20.980606079101562,112.59487915039062,91.61427307128906,home
v1_p8_5,47.16895294189453,106.33747100830078,59.16851806640625,home
v1_p8_6,14.961895942687988,104.19306945800781,89.23117065429688,home
v1_p8_7,14.968764305114746,102.95484924316406,87.986083984375,home
v1_p8_8,71.90532684326172,90.59224700927734,18.686920166015625,away
v1_p8_9,40.90338134765625,62.43076705932617,21.527385711669922,home
v1_p9_1,52.73184585571289,80.26657104492188,27.534725189208984,home
v1_p9_10,148.62008666992188,69.12247467041016,79.49761199951172,away
v1_p9_2,72.14908599853516,158.1707763671875,86.02169036865234,home
v1_p9_3,63.755577087402344,73.67424011230469,9.918663024902344,home
v1_p9_4,145.9627685546875,94.75851440429688,51.204254150390625,away
v1_p9_5,110.80322265625,80.48762512207031,30.315597534179688,away
v1_p9_6,119.48136901855469,32.5208854675293,86.96047973632812,away
v1_p9_7,105.16981506347656,74.2336654663086,30.93614959716797,away
v1_p9_8,58.90545654296875,53.83832550048828,5.067131042480469,away
