tid,assign,margin,home_metric,away_metric
v1_p4_5,,3.875568389892578,64.91582489013672,61.04025650024414
v1_p4_8,,16.467342376708984,66.54170989990234,50.07436752319336
v1_p9_5,,16.970809936523438,113.26113891601562,96.2903289794922
v1_p9_7,,17.262245178222656,107.82611846923828,90.56387329101562
v1_p7_10,,20.28069305419922,48.13786315917969,68.4185562133789
v1_p7_7,,21.70069122314453,51.26912689208984,72.96981811523438
v1_p7_4,,22.58343505859375,69.81889343261719,47.23545837402344
v1_p4_7,,25.54340362548828,78.3482666015625,52.80486297607422
v1_p4_1,,26.569751739501957,89.26915740966797,62.699405670166016
v1_p8_8,,29.50171661376953,64.16234588623047,93.6640625
v1_p7_2,,31.21894836425781,45.2781982421875,76.49714660644531
v1_p9_1,,31.719676971435547,86.47108459472656,54.751407623291016
v1_p5_3,,32.65186309814453,82.60489654541016,49.953033447265625
v1_p8_9,,36.39522171020508,74.91792297363281,38.52270126342773
v1_p8_6,,39.79855346679688,42.932525634765625,82.7310791015625
v1_p5_9,,39.94866180419922,89.67120361328125,49.72254180908203
v1_p6_6,,42.24048614501953,122.54138946533205,80.3009033203125
v1_p6_5,,42.88877487182617,99.4663543701172,56.577579498291016
