tid,assign,margin,home_metric,away_metric
v1_p9_5,,5.5235137939453125,151.23626708984375,156.75978088378906
v1_p7_5,,5.549507141113281,84.31137084960938,78.7618637084961
v1_p8_7,,8.047698974609375,77.8589859008789,85.90668487548828
v1_p4_6,,8.060615539550781,94.6376953125,86.57707977294922
v1_p9_7,,10.543106079101562,139.4212646484375,149.96437072753906
v1_p7_2,,12.25531768798828,94.84930419921876,107.10462188720705
v1_p7_3,,13.04931640625,90.19296264648438,77.14364624023438
v1_p7_10,,16.719642639160156,92.7027359008789,109.42237854003906
v1_p8_8,,18.646026611328125,123.9616241455078,105.31559753417967
v1_p7_1,,21.35240173339844,115.23001098632812,93.87760925292967
v1_p8_4,,23.64634704589844,68.58783721923828,92.23418426513672
v1_p6_10,,29.3502197265625,104.63716888427734,75.28694915771484
v1_p8_5,,30.004127502441406,108.1319808959961,78.12785339355469
v1_p6_6,,33.865020751953125,139.28372192382812,173.14874267578125
v1_p6_1,,35.275535583496094,102.92523956298828,67.64970397949219
v1_p8_6,,37.2685432434082,63.71113204956055,100.97967529296876
v1_p6_7,,43.6943359375,128.27828979492188,171.97262573242188
v1_p7_7,,44.237884521484375,69.87667846679688,114.11456298828124
